Mill Number,Population #,Disposition,Working Circle,Month/Year,Cut Block,Load Number,Gross,Tare,Net,TM9 Number,Sample
8641,626,FMA0900046,DV1,32017,5100423121,398,60620,51500,9120,U004345325,N
8641,626,FMA0900046,DV1,32017,5110443314,399,51510,25680,25830,U004345324,N
8641,660,FMA0900046,E-15,32017,5150510419,62,62000,20020,41980,ED00027836,N
8641,660,FMA0900046,E-15,32017,5150510419,63,62830,23350,39480,WE00169947,N
8641,660,FMA0900046,E-15,32017,5150510419,64,63540,20290,43250,WE00169948,N
8641,660,FMA0900046,E-15,32017,5150510419,65,62490,20020,42470,WE00169949,N
8641,660,FMA0900046,E-15,32017,5150510419,66,63130,22770,40360,WE00169950,N
8641,680,FMA0900046,E-15,32017,5170491727,260,61990,22490,39500,WE00171294,N
8641,660,FMA0900046,E-15,32017,5150510419,67,61420,23240,38180,WE00169959,N
8641,660,FMA0900046,E-15,32017,5150510419,68,63840,20380,43460,WE00169960,N
8641,680,CTLW06005,,32017,5120501262,261,56530,44690,11840,M435726,N
8641,680,CTLW06005,,32017,5130501262,262,44700,22970,21730,U004345425,N
8641,660,FMA0900046,E-15,32017,5150510419,69,64630,19830,44800,WE00169968,N
8641,660,FMA0900046,E-15,32017,5150510419,70,65490,22600,42890,WE00169969,N
8641,660,FMA0900046,E-15,32017,5150510419,71,63340,21150,42190,WE00169970,N
8641,620,CTPE140013,,32017,,1,59020,25720,33300,U004346351,N
8641,626,FMA9700032,EFP,32017,5160481594,400,59620,26380,33240,Q235180,N
8641,626,FMA0900046,DV1,32017,5110443314,401,64400,26330,38070,U004346352,N
8641,626,FMA0900046,DV1,32017,5110443314,402,58050,26360,31690,U004346353,Y
8641,680,FMA0900046,E-15,32017,5170491727,263,63800,22780,41020,WE00171311,N
8641,685,CTLW140002,CRL-71,32017,,50,66800,22040,44760,MW00284257,N
8641,685,CTLW140002,CRL-71,32017,,51,66840,55410,11430,MW00284258,N
8641,685,CTLW140002,CRL-71,32017,,52,55410,22660,32750,U004346380,N
8641,685,CTLW140002,CRL-71,32017,,53,65930,23800,42130,MW00284321,N
8641,685,CTLW140002,CRL-71,32017,,54,64120,21740,42380,MW00284324,N
8641,685,CTLW140002,CRL-71,32017,,55,62590,20570,42020,MW00284325,N
8641,685,CTLW140002,CRL-71,32017,,56,67980,22090,45890,MW00284326,N
8641,685,CTLW140002,CRL-71,32017,,57,66550,23230,43320,MW00284327,N
8641,685,CTLW140002,CRL-71,32017,,58,63290,21390,41900,MW00284328,N
8641,685,CTLW140002,CRL-71,32017,,59,64240,21690,42550,MW00284331,N
8641,685,CTLW140002,CRL-71,32017,,60,58660,20370,38290,MW00284332,N
8641,626,FMA9700032,EFP,32017,5160481764,403,61430,26710,34720,Q235181,N
8641,630,PRIVATE,,32017,SE 12-53-11-W5,130,64140,27830,36310,U004346260,N
8641,630,PRIVATE,,32017,SE 12-53-11-W5,131,64870,27700,37170,U004346261,N
8641,630,PRIVATE,,32017,SE 12-53-11-W5,132,64400,27290,37110,U004313093,N
8641,630,PRIVATE,,32017,SE 12-53-11-W5,133,63830,27260,36570,U004313094,N
8641,630,PRIVATE,,32017,SE 12-53-11-W5,134,64260,27620,36640,U004346262,N
8641,626,FMA9900037,DEEP,32017,5260622788,404,63100,25580,37520,U004407863,N
8641,685,CTLW140002,CRL-70,32017,,61,67870,23140,44730,MW00284371,N
8641,685,CTLW140002,CRL-70,32017,,62,67550,23650,43900,MW00284372,N
8641,685,CTLW140002,CRL-70,32017,,63,63370,20470,42900,MW00284373,N
8641,685,CTLW140002,CRL-70,32017,,64,66570,21830,44740,MW00284374,N
8641,685,CTLW140002,CRL-70,32017,,65,65660,23570,42090,MW00284384,N
8641,685,CTLW140002,CRL-70,32017,,66,67370,22760,44610,MW00284386,N
8641,685,CTLW140002,CRL-70,32017,,67,47240,21970,25270,MW00284385,N
8641,685,CTLW140002,CRL-70,32017,,68,66700,22760,43940,MW00284420,N
8641,685,CTLW140002,CRL-70,32017,,69,67100,23140,43960,MW00284421,N
8641,685,CTLW140002,CRL-70,32017,,70,63200,21890,41310,MW00284422,N
8641,685,CTLW140002,CRL-70,32017,,71,63490,22050,41440,MW00284424,N
8641,685,CTLW140002,CRL-70,32017,,72,63000,19980,43020,MW00284425,N
