Mill Number,Population #,Disposition,Working Circle,Month/Year,Cut Block,Load Number,Gross,Tare,Net,TM9 Number,Sample
8641,626,FMA0900046,DV1,12017,5110451119,312,66340,26070,40270,U004313187,N
8641,626,FMA0900046,DV1,12017,5130472983,313,61820,26440,35380,U004313188,N
8641,626,FMA8800025,EMB,12017,5180472762,314,55640,25080,30560,S1008421,N
8641,630,PRIVATE,,12017,5-53-12-W5,73,65010,27420,37590,U004313645,N
8641,630,PRIVATE,,12017,5-53-12-W5,74,63750,27480,36270,U004313646,N
8641,626,FMA0900046,DV1,12017,5130472983,315,64700,26300,38400,U004313189,N
8641,626,FMA0900046,DV1,12017,5130472983,316,62670,26580,36090,U004313190,N
8641,630,PRIVATE,,12017,5-53-12-W5,75,60020,27100,32920,U004313648,N
8641,630,PRIVATE,,12017,5-53-12-W5,76,61460,27000,34460,U004313625,N
8641,630,PRIVATE,,12017,5-53-12-W5,77,62660,27110,35550,U004313649,N
8641,630,PRIVATE,,12017,5-53-12-W5,78,57690,27080,30610,U004313650,N
8641,680,CTLE010068,,12017,5160503533,136,61460,21310,40150,U004313234,N
8641,626,FMA0900046,DV1,12017,5130472983,317,60570,26390,34180,U004313191,N
8641,626,FMA0900046,DV1,12017,5130472983,318,64960,26280,38680,U004313192,N
8641,630,PRIVATE,,12017,NW21-54-4-W5,79,44770,18960,25810,U1536946,N
8641,630,PRIVATE,,12017,NW21-54-4-W5,80,44520,19610,24910,U1536947,N
8641,630,PRIVATE,,12017,NW21-54-4-W5,81,46390,18840,27550,U1536948,N
8641,680,CTLE010068,,12017,5160503533,137,61990,48190,13800,U004313235,N
8641,680,CTLE010068,,12017,5160503533,138,48190,21270,26920,U004323986,N
8641,626,FMA0900046,DV1,12017,5130472983,319,64390,27030,37360,U004313193,N
8641,626,FMA9700032,EFP,12017,5160482491,320,56160,25620,30540,Q231487,N
8641,626,FMA0900046,DV1,12017,5130472983,321,64490,27100,37390,U004313194,N
