Date,Pop Load Slip #,Count,Sample Loads,TM9/Ticket#,Owner,Disposition/FMA#,Working Circle,Block #,Logging Co.,Haule By,Truck License Plate #,Truck #,Truck Axle,Gross Weight,Tare Weight,Net Weight,Received # of Pieces from Load Slip,Date Barkie Load inspection Report - Completed,Total Logs Inspected,Total Logs to Peeler,Logs Rejected
2016-05-03,626,1,,U003756734,CANFOR,FMA9900037,DEEP,5260631181,Timber Pro,TIM YOUNG,14291P,BWP 83,7,51540,25140,26400,44,2016-05-05,44,44,0
2016-05-09,680,1,,WD00146265,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,,BARMAC,K83153,E917,8,59240,20430,38810,,,,,0
2016-05-09,680,2,,WD00146268,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,,BARMAC,K77239,D4,8,60940,20670,40270,,,,,0
2016-05-10,680,3,,WD00146298,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,,BARMAC,L09453,D6,9,62160,22220,39940,,,,,0
2016-05-10,680,4,,WD00146299,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,,BARMAC,J97513,D364,8,60780,22230,38550,,,,,0
2016-05-10,626,2,,U004304973,WEYERHAEUSER DV,FMA0900046,DV1,5090401090,RVL,TIM YOUNG,14291P,BWP 83,7,54710,25220,29490,45,2016-05-11,45,45,0
2016-05-10,626,3,,U004304974,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,Todd Graham,TIM YOUNG,14291P,BWP 83,7,54670,25120,29550,48,2016-05-11,48,47,1
2016-05-10,626,4,,U004305636,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,Todd Graham,RL HARRIS,C18542,D661,7,46610,23040,23570,39,2016-05-12,39,39,0
2016-05-11,630,1,,U004313404,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L59404,E605,7,47720,26180,21540,,,,,0
2016-05-11,630,2,,U004305750,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48350,26440,21910,,,,,0
2016-05-11,630,3,,U004313405,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48270,26390,21880,,,,,0
2016-05-11,630,4,,U004313406,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L59404,E605,7,49570,26130,23440,,,,,0
2016-05-11,630,5,,U004313407,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48090,26330,21760,,,,,0
2016-05-11,626,5,,U004304975,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,Todd Graham,TIM YOUNG,14291P,BWP 83,7,54420,25470,28950,46,2016-05-12,46,45,1
2016-05-11,626,6,,U004313476,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,Todd Graham,TIM YOUNG,14291P,BWP 83,7,54680,25370,29310,47,2016-05-13,47,47,0
2016-05-12,630,6,,U004313408,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L59404,E605,7,50050,26190,23860,,,,,0
2016-05-12,630,7,,U004313409,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48250,26790,21460,,,,,0
2016-05-12,630,8,,U004312876,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L59404,E605,7,49300,26150,23150,,,,,0
2016-05-12,630,9,,U004313410,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48670,26740,21930,,,,,0
2016-05-12,630,10,,U004313411,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48650,26700,21950,,,,,0
2016-05-12,630,11,,U004313412,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48610,26660,21950,,,,,0
2016-05-13,626,7,,U004313478,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,Todd Graham,TIM YOUNG,14291P,BWP 83,7,55120,38290,16830,29,2016-05-25,30,30,0
2016-05-13,626,8,,U004313477,WEYERHAEUSER DV,FMA0900046,DV1,5090401090,RVL,TIM YOUNG,14291P,BWP 83,7,38290,25370,12920,21,2016-05-19,21,19,2
2016-05-13,680,5,,WD00146376,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,K77239,D4,8,62100,20250,41850,,,,,0
2016-05-13,680,6,,WD00146377,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,L09453,D6,9,65920,22380,43540,,,,,0
2016-05-13,680,7,,WD00146379,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,J97513,D364,8,61860,22320,39540,,,,,0
2016-05-13,680,8,,WD00146380,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,L44034,E958,8,58780,22660,36120,,,,,0
2016-05-13,680,9,,WD00146381,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,L09406,D645,8,59810,20850,38960,,,,,0
2016-05-13,630,12,,U004313413,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48360,26580,21780,,,,,0
2016-05-13,630,13,,U004313414,OLIVER'S CONTRACTING,PRIVATE,,SW4-54-15-W5,,ALEVOG ,L00904,E604,7,48500,26520,21980,,,,,0
